text,label,Experience of Unity,Spiritual Experience,Blissful State,Insightfulness,Disembodiment,Impaired control and cognition,anxiety,Complex imagery,elementary imagery,audio-visual synesthesiase,Changed meaning of percepts,Oceanic Boundlessness,Ego-Dissolution,Visionary Restructuralization,Additional Items of Secondary Scale
While reading  you find that you are thinking about something else,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people find that when they are watching television or a movie they become so absorbed in the story that they are unaware of other events happening around them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people find that that they sometimes sit staring off into space  thinking of nothing  and are not aware of the passage of time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97   Forgetting what you did earlier in the day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not remembering what you ate at your last meal  or even whether you ate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immediately forgetting what other people tell you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forgetting where you put something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not remembering where you were the day before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I forget what I did earlier in the day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32   Feeling as if your body  or certain parts of it  are unreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling mechanical or not really human,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that other people  objects  or the world around you are not real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that part of your body is disconnected  detached  from the rest of your body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling as if part of your body  or your whole body  has disappeared,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Your body suddenly feeling as if it isn t really yours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I feel as if my body  or certain parts of it  is unreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
